,WELL_NAME,Simulated
154,OBS1,-0.1166577518
155,OBS1,-0.1166577586
156,OBS1,-0.1166577654
157,OBS1,-0.1166577721
158,OBS1,-0.1166577789
159,OBS1,-0.1166577856
160,OBS1,-0.1166577923
161,OBS1,-0.116657799
162,OBS1,-0.1166578057
163,OBS1,-0.1166578124
164,OBS1,-0.116657819
165,OBS1,-0.1166578257
166,OBS1,-0.1166578323
167,OBS1,-0.1166578389
168,OBS1,-0.1166578455
169,OBS1,-0.1166578521
170,OBS1,-0.1166578587
171,OBS1,-0.1166578653
172,OBS1,-0.1166578718
173,OBS1,-0.1166578783
174,OBS1,-0.1166578849
175,OBS1,-0.1166578914
176,OBS1,-0.1166578979
177,OBS1,-0.1166579044
178,OBS1,-0.1166579108
179,OBS1,-0.1166579173
180,OBS1,-0.1166579237
181,OBS1,-0.1166579302
182,OBS1,-0.1166579366
183,OBS1,-0.116657943
184,OBS1,-0.1166579494
185,OBS1,-0.1166579558
186,OBS1,-0.1166579621
187,OBS1,-0.1166579685
188,OBS1,-0.1166579748
189,OBS1,-0.1166579812
190,OBS1,-0.1166579875
191,OBS1,-0.1166579938
192,OBS1,-0.1166580001
193,OBS1,-0.1166580063
194,OBS1,-0.1166580126
195,OBS1,-0.1166580189
196,OBS1,-0.1166580251
197,OBS1,-0.1166580313
198,OBS1,-0.1166580375
199,OBS1,-0.1166580438
200,OBS1,-0.1166580499
201,OBS1,-0.1166580561
202,OBS1,-0.1166580623
203,OBS1,-0.1166580684
204,OBS1,-0.1166580746
205,OBS1,-0.1166580807
206,OBS1,-0.1166580868
207,OBS1,-0.1166580929
208,OBS1,-0.116658099
209,OBS1,-0.1166581051
210,OBS1,-0.1166581112
211,OBS1,-0.1166581172
212,OBS1,-0.1166581233
213,OBS1,-0.1166581293
214,OBS1,-0.1166581353
215,OBS1,-0.1166581413
216,OBS1,-0.1166581473
217,OBS1,-0.1166581533
218,OBS1,-0.1166581593
219,OBS1,-0.1166581652
220,OBS1,-0.1166581712
221,OBS1,-0.1166581771
222,OBS1,-0.116658183
223,OBS1,-0.1166581889
224,OBS1,-0.1166581948
225,OBS1,-0.1166582007
226,OBS1,-0.1166582066
227,OBS1,-0.1166582125
228,OBS1,-0.1166582183
229,OBS1,-0.1166582242
230,OBS1,-0.11665823
231,OBS1,-0.1166582358
232,OBS1,-0.1166582416
233,OBS1,-0.1166582474
234,OBS1,-0.1166582532
235,OBS1,-0.116658259
236,OBS1,-0.1166582647
237,OBS1,-0.1166582705
238,OBS1,-0.1166582762
239,OBS1,-0.1166582819
240,OBS1,-0.1166582877
241,OBS1,-0.1166582934
242,OBS1,-0.116658299
243,OBS1,-0.1166583047
244,OBS1,-0.1166583104
245,OBS1,-0.1166583161
246,OBS1,-0.1166583217
247,OBS1,-0.1166583273
248,OBS1,-0.116658333
249,OBS1,-0.1166583386
250,OBS1,-0.1166583442
251,OBS1,-0.1166583498
252,OBS1,-0.1166583553
253,OBS1,-0.1166583609
254,OBS1,-0.1166583665
255,OBS1,-0.116658372
256,OBS1,-0.1166583775
257,OBS1,-0.1166583831
258,OBS1,-0.1166583886
259,OBS1,-0.1166583941
260,OBS1,-0.1166583996
261,OBS1,-0.1166584051
262,OBS1,-0.1166584105
263,OBS1,-0.116658416
264,OBS1,-0.1166584214
265,OBS1,-0.1166584269
266,OBS1,-0.1166584323
267,OBS1,-0.1166584377
268,OBS1,-0.1166584431
269,OBS1,-0.1166584485
270,OBS1,-0.1166584539
271,OBS1,-0.1166584593
272,OBS1,-0.1166584646
273,OBS1,-0.11665847
274,OBS1,-0.1166584753
275,OBS1,-0.1166584806
276,OBS1,-0.1166584859
277,OBS1,-0.1166584913
278,OBS1,-0.1166584966
279,OBS1,-0.1166585018
280,OBS1,-0.1166585071
281,OBS1,-0.1166585124
282,OBS1,-0.1166585176
283,OBS1,-0.1166585229
284,OBS1,-0.1166585281
285,OBS1,-0.1166585333
286,OBS1,-0.1166585386
287,OBS1,-0.1166585438
288,OBS1,-0.1166585489
289,OBS1,-0.1166585541
290,OBS1,-0.1166585593
291,OBS1,-0.1166585645
292,OBS1,-0.1166585696
293,OBS1,-0.1166585748
294,OBS1,-0.1166585799
295,OBS1,-0.116658585
296,OBS1,-0.1166585901
297,OBS1,-0.1166585952
298,OBS1,-0.1166586003
299,OBS1,-0.1166586054
300,OBS1,-0.1166586105
301,OBS1,-0.1166586155
302,OBS1,-0.1166586206
303,OBS1,-0.1166586256
304,OBS1,-0.1166586306
305,OBS1,-0.1166586357
306,OBS1,-0.1166586407
307,OBS1,-0.1166586457
308,OBS1,-0.1166586507
309,OBS1,-0.1166586556
