,Unnamed: 0,WELL_NAME,OBS,Latitude,Longitude,geometry,Simulated,Residual
146,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116657697,1.335857697
147,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577039,1.3358577039000001
148,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577108,1.3358577108
149,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577177,1.3358577177000002
150,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577245,1.3358577245
151,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577314,1.3358577314
152,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577382,1.3358577382
153,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116657745,1.335857745
154,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577518,1.3358577518
155,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577586,1.3358577586
156,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577654,1.3358577654000001
157,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577721,1.3358577721
158,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166577789,1.3358577789000001
